Tipo,Nombre,Inventario,"Precio normal",Categorías
variable,"Chapita identificadora Hueso",8,,"Accesorios, Chapitas Identificadoras, Chapitas Identificadoras > Chapitas Identificadoras Perro"
variable,"Chapita identificadora Gato",,,"Accesorios, Chapitas Identificadoras, Chapitas Identificadoras > Chapitas Identificadoras Gato"
variable,"Collar Básico con Chapita Remachada para PERRO",,,"Accesorios, Chapitas Identificadoras, Collares, Collares > Collares con chapita remachada"
variable,"Collar Gato Huellitas",,,"Collares, Collares > Collares con diseño"
variable,"Collar Gato Reflectante",,,"Collares, Collares > Collares con diseño"
variable,"Capita Hoodie Adidog",65,,"Adidog Hoodie, Perros, Ropa"
variable,"Chapita identificadora Redonda Negra",,,"Accesorios, Chapitas Identificadoras, Chapitas Identificadoras > Chapitas Identificadoras Gato, Chapitas Identificadoras > Chapitas Identificadoras Perro"
variable,"Collar con Chapita Remachada para GATO",,,"Accesorios, Chapitas Identificadoras, Chapitas Identificadoras > Chapitas Identificadoras Gato, Collares, Collares > Collares con chapita remachada, Gatos"
variable,"Correas largas",,,"Accesorios, Correas, Perros, Varios"
variable,"Collar PetsClub CAMO para Perro",,,"Accesorios, Collares, Collares > Collares con diseño"
variable,"Collar PetsClub PIZZA para Perro",,,"Accesorios, Collares, Collares > Collares con diseño"
variable,"Collar PetsClub COLORS para Perro",,,"Accesorios, Collares, Collares > Collares con diseño"
variable,"Collar PetsClub HOLSTEIN para Perro",,,"Accesorios, Collares, Collares > Collares con diseño"
variable,"Collar PetsClub HOLSTEIN para Gato",,,"Accesorios, Collares, Collares > Collares con diseño"
variable,"Collar PetsClub LEOPARD para Perro",,,"Accesorios, Collares, Collares > Collares con diseño"
variable,"Collar PetsClub LEOPARD para Gato",4,,"Accesorios, Collares, Collares > Collares con diseño"
variable,"Pechera Batman Perro y Gato",15,,"Accesorios, Pecheras, Sin categorizar, Super Pets"
variable,"Pechera Superman Perro y Gato",20,,"Accesorios, Pecheras, Sin categorizar, Super Pets"
variable,"Pechera Mujer Maravilla Perro y Gato",,,"Accesorios, Pecheras, Sin categorizar, Super Pets"
variable,"Collar Gato Básico Abre Fácil",,,"Collares, Collares > Collares básicos"
